Term Test 1 (/505),Term Test 1 Adjust (/50),Term Test 2 (/57),Term Test 2 Adjust (/55)
34,36,40,40
36,38,42,42
26,28,29,29
45,47,48,48
18,20,-1,-1
34,36,40,40
-1,-1,-1,-1
40.5,42.5,45,45
37.5,39.5,28,28
46,48,43,43
37,39,31,31
26,28,34,34
24,26,32,32
27,29,35,35
21,23,-1,-1
30,32,29,29
40.5,42.5,44,44
27,29,25,25
35,37,44,44
34,36,36,36
29,31,-1,-1
25,27,35,35
28,30,32,32
24,26,32,32
40,42,40,40
27,29,46,46
42.5,44.5,44,44
21,23,25,25
-1,-1,19,19
33,35,33,33
31,33,36,36
39,41,28,28
21,23,31,31
44,46,40,40
39,41,38,38
23,25,42,42
34,36,-1,-1
29,31,42,42
22,24,34,34
38,40,39,39
34,36,35,35
30,32,37,37
37,39,33,33
21,23,26,26
31,33,35,35
26,28,35,35
-1,-1,-1,-1
24,26,30,30
41,43,47,47
28,30,45,45
45,47,54,54
14,16,28,28
15,17,13,13
42,44,48,48
36,38,51,51
26,28,24,24
37,39,42,42
20,22,36,36
27,29,34,34
28,30,28,28
37,39,37,37
28,30,26,26
29,31,28,28
40,42,27,27
33,35,47,47
27,29,-1,-1
33,35,35,35
22,24,16,16
36,38,38,38
40,42,43,43
37,39,46,46
39,41,38,38
37,39,28,28
45,47,46,46
35,37,53,53
27,29,28,28
22,24,35,35
29,31,26,26
27,29,39,39
35,37,43,43
30,32,35,35
31,33,29,29
35,37,39,39
36,38,35,35
43,45,32,32
41,43,33,33
20,22,22,22
-1,-1,35,35
40,42,38,38
36,38,42,42
29,31,33,33
40,42,26,26
41,43,42,42
23,25,24,24
36,38,21,21
34,36,31,31
23,25,34,34
32,34,33,33
37,39,51,51
22,24,44,44
17,19,20,20
39,41,37,37
43,45,49,49
